district,income,unemployment,foreign_percentage,education_level
Centro,23084,12.84,13.43,10.04
Arganzuela,23356,12.05,7.71,8.1
Retiro,26409,10,4.15,5.2
Salamanca,26265,9.15,6.76,5.1
Chamartín,25815,8.75,5.8,5
Tetuán,22025,13.9,14.18,12
Chamberí,25984,9.49,6.77,5.8
Fuencarral - El Pardo,23371,10.88,5.23,9.1
Moncloa - Aravaca,23941,9.92,6.57,6.9
Latina,19333,15.84,10.47,12.8
Carabanchel,18049,17.59,13.01,15.5
Usera,16691,18.88,16.03,20.6
Puente de Vallecas,16730,21.31,11.93,21.8
Moratalaz,21231,15.14,5.66,12.2
Ciudad Lineal,22182,14.14,9.53,11.2
Hortaleza,23229,11.95,5.42,9.9
Villaverde,16970,20.76,13.88,20
Villa de Vallecas,20402,17.86,7.08,14.7
Vicálvaro,19537,16.63,6.67,17.2
San Blas - Canillejas,21556,15.73,6.81,16.4
Barajas,25297,11.11,4.97,8.4
